,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
1300,Iridium Next SV 163 ,Iridium Next 163,USA,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,607.0,623.0,0.0011453113815318,86.6,97.0,860.0,678.0,50.0,2018-07-25 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2018-061G,43575,[],"['10_18', 'JMSatcat']",https://spaceflightnow.com/2018/07/25/spacexs-second-launch-in-three-days-lofts-10-more-iridium-satellites/
1301,Iridium Next SV 164,Iridium Next 164,USA,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,607.0,623.0,0.0011453113815318,86.6,97.0,860.0,678.0,50.0,2018-07-25 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2018-061J,43577,[],"['10_18', 'JMSatcat']",https://spaceflightnow.com/2018/07/25/spacexs-second-launch-in-three-days-lofts-10-more-iridium-satellites/
1302,Iridium Next SV 165,Iridium Next 165,USA,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,609.0,623.0,0.001002004008016,86.6,97.0,860.0,678.0,50.0,2018-07-25 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2018-061D,43572,[],"['10_18', 'JMSatcat']",https://spaceflightnow.com/2018/07/25/spacexs-second-launch-in-three-days-lofts-10-more-iridium-satellites/
1303,Iridium Next SV 166,Iridium Next 166,USA,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,609.0,623.0,0.001002004008016,86.6,97.0,860.0,678.0,50.0,2018-07-25 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2018-061B,43570,[],"['10_18', 'JMSatcat']",https://spaceflightnow.com/2018/07/25/spacexs-second-launch-in-three-days-lofts-10-more-iridium-satellites/
1304,Iridium Next SV 167,Iridium Next 167,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,612.0,625.0,0.0009300994490949,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002K,43931,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1305,Iridium Next SV 168,Iridium Next 168,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,608.0,626.0,0.0012881064834693,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002C,43924,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1306,Iridium Next SV 169,Iridium Next 169,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,609.0,626.0,0.001216457960644,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002E,43926,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1307,Iridium Next SV 170,Iridium Next 170,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,610.0,626.0,0.0011448196908986,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002J,43930,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1308,Iridium Next SV 171,Iridium Next 171,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,609.0,626.0,0.001216457960644,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002H,43929,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1309,Iridium Next SV 172,Iridium Next 172,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,608.0,626.0,0.0012881064834693,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002F,43927,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1310,Iridium Next SV 173,Iridium Next 173,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,608.0,626.0,0.0012881064834693,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002D,43925,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1311,Iridium Next SV 175,Iridium Next 175,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,611.0,625.0,0.0010017172295363,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002G,43928,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1312,Iridium Next SV 176,Iridium Next 176,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,611.0,626.0,0.0010731916720326,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002B,43923,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1313,Iridium Next SV 180,Iridium Next 180,NR,USA,"Iridium Communications, Inc.","['Commercial', 'Government']",Communications,[],LEO,Polar,0.0,611.0,626.0,0.0010731916720326,86.7,97.0,860.0,678.0,50.0,2019-01-11 00:00:00,15.0,"['Orbital ATK', 'Thales Alenia Space']","['France', 'Italy']",Vandenberg AFB,Falcon 9,2019-002A,43922,[],"['3_19', 'JMSatcat']",https://spaceflightnow.com/2019/01/11/spacex-begins-2019-with-eighth-and-final-for-upgraded-iridium-network/  https://www.planet4589.org/space/log/satcat.txt
1314,IRIS (Interface Region Imaging Spectrometer),IRIS,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,[],LEO,Sun-Synchronous,0.0,620.0,664.0,0.0031374786081003,97.9,97.5,236.0,678.0,50.0,2013-06-28 00:00:00,2.0,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,Vandenberg AFB,L1011,2013-033A,39197,"Investigate the sun's corona, solar wind and atmosphere",ZARYA,http://www.nasa.gov/mission_pages/iris/launch/index.html#.Ujn-PD-5-Ro  http://www.spacenewsfeed.co.uk/index.php/launches/14954-iris http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2013/033A.HTM
1316,IRNSS-1A (Indian Regional Navigation Satellite System),IRNSS-1A,India,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,55.0,35712.0,35872.0,0.0018974431952943,27.1,1436.0,1425.0,614.0,1660.0,2013-07-01 00:00:00,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2013-034A,39199,First of a seven-satellite system.,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013  http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2013/034A.HTM http://www.digplanet.com/wiki/I-1K
1317,IRNSS-1B (Indian Regional Navigation Satellite System),IRNSS-1B,India,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,55.0,35695.0,35880.0,0.0021941528790843,30.97,1436.14,1432.0,615.0,1660.0,2014-04-04 00:00:00,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635,[],SC - ASCR,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014
1318,IRNSS-1C (Indian Regional Navigation Satellite System),IRNSS-1C,NR,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,83.0,35690.0,35871.0,0.0021470682435558,4.96,1435.8,1425.0,598.0,1660.0,2014-10-15 00:00:00,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269,[],ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014  http://gpsworld.com/india-launches-third-navigation-satellite-irnss-1c/
1319,IRNSS-1D (Indian Regional Navigation Satellite System),IRNSS-1D,NR,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,111.7,35699.0,35834.0,0.001601936563312,30.04,1435.06,1425.0,598.0,1600.0,2015-03-30 00:00:00,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-C27,2015-018A,40547,[],"['8_15', 'JM']",http://www.isro.gov.in/Spacecraft/irnss-1d  http://www.nasaspaceflight.com/2015/03/pslv-launch-irnss-1d-indias-2015-campaign/
1320,IRNSS-1E (Indian Regional Navigation Satellite System),IRNSS-1E,NR,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,111.7,35695.0,35874.0,0.0021231422505307,28.09,1436.01,1425.0,598.0,1600.0,2016-01-20 00:00:00,12.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241,[],"['5_16', 'JM']",http://spaceflightnow.com/2016/01/20/pslv-lofts-satellite-for-indias-indigenous-navigation-system/  http://www.planet4589.org/space/log/geo.log
1321,IRNSS-1F (Indian Regional Navigation Satellite System),IRNSS-1F,India,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,32.5,35700.0,35874.0,0.002063714211163,5.09,1436.13,1425.0,598.0,1600.0,2016-03-10 00:00:00,12.0,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384,[],Space50,http://spaceflightnow.com/2016/03/10/pslv-poised-to-launch-with-indian-navigation-satellite/  http://space50.org/objekt.php?mot=2016-015A&jazyk=pp_en
1322,IRNSS-1G (Indian Regional Navigation Satellite System),IRNSS-1G,India,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,129.5,35774.0,35797.0,0.0002727995160773,5.06,1436.05,1425.0,598.0,1600.0,2016-04-28 00:00:00,12.0,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469,Final satellite in the seven-satellite regional system.,Space50,https://spaceflightnow.com/2016/04/28/indian-launch-set-to-round-out-domestic-navigation-network/  http://space50.org/objekt.php?mot=2016-027A&jazyk=pp_en
1323,IRNSS-1I (Indian Regional Navigation Satellite System),IRNSS-1I,India,India,Indian Space Research Organization (ISRO),Government,"['Navigation', 'Regional Positioning']",[],GEO,,55.0,35702.0,35872.0,0.0020162725051592,28.5,1436.1,1425.0,598.0,1600.0,2018-04-11 00:00:00,10.0,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-035A,43286,[],"['5_2018', 'JMSatcat']",https://spaceflightnow.com/2018/04/11/isro-launches-for-second-time-in-two-weeks/
1324,IRS-P6 (Resourcesat-1) ,IRS-P6,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,817.0,823.0,0.0004172461752433,98.8,101.3,1360.0,,1200.0,2003-10-17 00:00:00,5.0,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051,"Monitor agricultural, land, and water resources.","['12', 'www.satellitedebris.net 12']",http://www.isro.org/pslvc5/index.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx600.html www.isro.org
1332,Jason 3,Jason 3,USA,"['France', 'USA']","[""Centre National d'Etudes Spatiales (CNES)"", 'EUMETSAT', 'NOAA', 'National Aeronautics and Space Administration (NASA)']",Government,Earth Observation,Earth Science,LEO,Non-Polar Inclined,0.0,1301.0,1324.0,0.0014969085584119,66.0,111.8,553.0,510.0,500.0,2016-01-17 00:00:00,5.0,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240,Monitor sea surface level and wave heights.,prehled-druzic,http://spaceflightnow.com/2016/01/18/satellite-launched-to-measure-motions-of-the-oceans/  http://prehled-druzic.blogspot.com/2016/01/2016-002.html
1340,"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",JCSat 2A,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,[],GEO,,154.0,35788.0,35794.0,7.115580749982211,0.01,1436.1,2500.0,1460.0,3500.0,2002-03-29 00:00:00,11.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015A,27399,"16 C-band, 16 Ku-band; coverage to Japan< East Asia, Australia and Hawaii.","['12_08', 'JM']",http://www.jsat.net/en/satellite/jcsat-2a.html  http://www.spacenadtech.com/spacedata/logs/2002/2002-015b_jcsat-8_sumpub.shtml http://www.boeing.com/defense-space/space/bss/factsheets/601/jcsat_8/jcsat_8.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html
1414,Kanopus-B (Kanopus Vulcan 1) ,Kanopus-B,Russia,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,501.0,505.0,0.0002909937436345,97.5,94.7,400.0,110.0,300.0,2012-07-22 00:00:00,5.0,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039A,38707,Will provide users with operational hydro-meteorological information.,"['12', 'www.satellitedebris.net 12']",http://en.is-service.su/news/childs/page/1/spacecraft-canopus-b-ica-fci-zond-pp-bca-tet-1-ads  http://www.spacedaily.com/reports/Russia_Launches_Soyuz_FG_Rocket_with_Five_Satellites_999.html http://www.tsenki.com/en/launch_services/help_information/launch/2012/?EID=93961 http://www.zarya.info/Diaries/Launches/Launches.php?year=2012
1420,KazEOSat-1 (Kazcosmos Earth Observation Satellite),KazEOSat-1,NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,751.0,754.0,0.0002106002106002,98.53,99.87,830.0,,1200.0,2014-04-30 00:00:00,7.25,Airbus Defence and Space,France,Guiana Space Center,Vega,2014-024A,39731,"High-resolution observation satellite owned by Kazakhstan, tasks including monitoring of natural and agricultural resources, provision of mapping data, and support for rescue operations in the event of a natural disaster.",SC - ASCR,https://directory.eoportal.org/web/eoportal/satellite-missions/k/kazeosat-1  http://space50.kosmo.cz/s40/2014/I024A.HTM http://www.zarya.info/Diaries/Launches/Launches.php?year=2014
1421,KazEOSat-2 (kazcosmos Earth Observation Satellite),KazEOSat-2,NR,Kazakhstan,Kazcosmos,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,612.0,636.0,0.0017157563625965,97.99,97.19,185.0,,55.0,2014-06-19 00:00:00,7.0,Surrey Satellite Technology Ltd.,UK,Dombarovsky Air Base,Dnepr,2014-033A,40010,Medium-resolution observaton satellite owned by Kazakshstan.,ZARYA,https://directory.eoportal.org/web/eoportal/satellite-missions/k/kazeosat-2  http://www.sstl.co.uk/News-and-Events/2014-News-Archive/SSTL-announces-successful-launch-of-KazEOSat-2
1465,"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",Kompsat-2,South Korea,South Korea,Korea Aerospace Research Institute (KARI),"['Commercial', 'Government']","['Earth Observation', 'Technology Development']",Optical Imaging,LEO,Sun-Synchronous,0.0,676.0,698.0,0.0015587360068017,98.2,98.5,800.0,,955.0,2006-07-28 00:00:00,3.0,"['EADS Astrium', 'Korea Aerospace Research Institute (KARI)']","['France', 'Germany', 'South Korea', 'UK']",Plesetsk Cosmodrome,Rokot,2006-031A,29268,"High-resolution, multispectral images of Earth's surface.","['12', 'www.satellitedebris.net 12']",http://nssdc.gsfc.nasa.gov/spacewaern/spx633.html  http://directory.eoportal.org/pres_KOMPSAT2KoreaMultiPurposeSatellite2Arirang2.html  http://www.lib.cas.cz/www/space.40/2006/031A.HTM
1466,"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",Kompsat-3,South Korea,South Korea,Korea Aerospace Research Institute (KARI),"['Commercial', 'Government']",Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,679.0,696.0,0.0012043924902585,98.2,98.5,980.0,,1300.0,2012-05-17 00:00:00,4.0,"['EADS Astrium', 'Korea Aerospace Research Institute (KARI)']","['France', 'Germany', 'South Korea', 'UK']",Tanegashima Space Center,H2A,2012-025B,38338,"['Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary', 'strategic imaging role.']","['12', 'www.satellitedebris.net 12']",https://directory.eoportal.org/web/eoportal/satellite-missions/k/kompsat-3  http://www.guardian.co.uk/world/feedarticle/10247807 http://database.eohandbook.com/database/missionsummary.aspx?missionID=637 http://www.zarya.info/Diaries/Launches/Launches.php?year=2012 http://weebau.com/satellite/K/kompsat3.htm
1467,"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)",Kompsat-3A,South Korea,South Korea,Korea Aerospace Research Institute (KARI),"['Commercial', 'Government']",Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,522.0,540.0,0.0013041588175626,97.5,95.25,980.0,,1300.0,2015-03-25 00:00:00,4.0,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2015-014A,40536,"['Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary', 'strategic imaging role.']","['8_15', 'JM']",https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/kompsat3  http://www.nasaspaceflight.com/2015/03/russias-dnepr-rocket-kompsat-3a-mission/
1468,"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",Kompsat-5,South Korea,South Korea,Korea Aerospace Research Institute (KARI),"['Commercial', 'Government']",Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,535.0,552.0,0.0012294785564475,97.6,95.5,1400.0,,1400.0,2013-08-22 00:00:00,5.0,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2013-042A,39227,To develop the first Korean SAR (Synthetic Aperture Radar) Satellite,ZARYA,http://www.kari.re.kr/data/eng/contents/Space_003.asp?catcode=1010111200&depthno=0  http://www.zarya.info/Diaries/Launches/Launches.php?year=2013 http://www.nasaspaceflight.com/2013/08/russian-dnepr-rocket-airang-5/
1470,Koreasat 5A (Mugungwha 5A),Koreasat 5A,South Korea,South Korea,KT Corporation,Commercial,Communications,[],GEO,,113.0,35787.0,35799.0,0.0001423048644546,0.0,1436.0,3700.0,,6500.0,2017-10-30 00:00:00,15.0,Thales Alenia Space,"['France', 'Italy']",Cape Canaveral,Falcon 9,2017-067A,42984,"Carries 36 Ku-band transponders, providing Internet access, television broadcast and other multimedia services in Korea, Japan, the Philippines, Guam, Southeast Asia, and South Asia.","['3_18', 'JMSatcat']",https://spaceflightnow.com/2017/10/30/spacex-launches-and-lands-third-rocket-in-three-weeks/
1506,Landsat 7 ,Landsat 7,USA,USA,"['National Aeronautics and Space Administration (NASA)', 'US Geological Survey']",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,702.0,703.0,7.069635913750442,98.2,98.8,2744.0,2200.0,1500.0,1999-04-15 00:00:00,15.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Delta 2,1999-020A,25682,Remote sensing; polar orbit.,"['12', 'www.satellitedebris.net 12']",http://www.ga.gov.au/acres/prod_ser/landdata.htm  http://nssdc.gsfc.nasa.gov/spacewarn/spx546.html http://www.floridatoday.com/space/explore/stories/1999/041599ai.htm http://landsat.usgs.gov/about.html http://www.sciencemaster.com/jump/space/landsat.php http://perso.wanadoo.fr/eurospace/espdatabase/index.html
1507,Landsat 8,Landsat 8,USA,USA,"['National Aeronautics and Space Administration (NASA)', 'US Geological Survey']",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,700.0,705.0,0.0003534817956875,98.2,98.8,2780.0,1512.0,4300.0,2013-02-11 00:00:00,5.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,2013-008A,39084,Replacement for Landsat 5.,SC - ASCR,http://science.nbcnews.com/_news/2013/05/06/18090996-three-months-after-launch-landsat-8-appears-to-be-working-flawlessly?lite  https://directory.eoportal.org/web/eoportal/satellite-missions/l/landsat-8-ldcm http://space50.kosmo.cz/s40/2013/INDEX1.HTM
1510,LAPAN A2,LAPAN A2,Indonesia,Indonesia,Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,Earth Science,LEO,Equatorial,0.0,631.0,650.0,0.001355110191855,6.0,97.53,68.0,,32.0,2015-09-24 00:00:00,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Centre,PSLV C-30,2015-052B,40931,"Disaster mitigation monitoring by Earth observation, also for land use, natural resources and environment monitoring.","['12_15', 'JM']",https://directory.eoportal.org/web/eoportal/satellite-missions/l/lapan-a2  http://www.planet4589.org/space/log/satcat.txt
1511,LAPAN A3,LAPAN A3,Indonesia,Indonesia,Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,501.0,517.0,0.0011629597325192,97.5,94.8,115.0,,37.0,2016-06-22 00:00:00,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Centre,PSLV XL,2016-040E,41603,Experimental remote sensing mission. Carries AIS and amateur radio.,ZARYA,http://spaceflight101.com/pslv-c34/lapan-a3/  http://spaceflightnow.com/2016/06/22/pslv-c34/ http://www.zarya.info/Diaries/Launches/Launches.php?year=2016
1512,LAPAN-Tubsat (LAPAN A1),LAPAN-Tubsat,Indonesia,Indonesia,Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,"['Earth Observation', 'Technology Development']",Optical Imaging,LEO,Sun-Synchronous,0.0,617.0,637.0,0.0014291839359725,97.7,97.2,60.0,,14.0,2007-01-10 00:00:00,,Technical University Berlin,Germany,Satish Dhawan Space Centre,PSLV C7,2007-001A,29709,Video camera surveillance microsatellite; based on German DLR-Tubsat; will perform experiments in attitude control and earth observation.,"['12', 'www.satellitedebris.net 12']",http://www.n2yo.com/satellite.php?s=29709  http://www.ilr.tu-berlin.de/RFA/sat/lapan/paper/triharj1.pdf http://www.spacedaily.com/reports/First_Indonesian_Developed_Satellite_To_Be_Launched_In_October_999.html
1679,Luch 5V,Luch 5V,Russia,Russia,Russian Federal Space Agency,Government,Communications,[],GEO,,95.0,35767.0,35802.0,0.0004151395461931,4.76,1435.99,1148.0,950.0,2200.0,2014-04-28 00:00:00,10.0,OAO Resetneva,Russia,Baikonur Cosmodrome,Proton M,2014-023A,39727,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",SC - ASCR,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014  http://space50.kosmo.cz/s40/2014/I023A.HTM http://www.tsenki.com/en/launch_services/help_information/launch/2014/?EID=109828
1696,Maroc Tubsat ,Maroc Tubsat,NR,"['Germany', 'Morocco']","['CTRS Morocco', 'Institut für Luft-und Raumfahrttechnik (Berlin)']",Government,Technology Development,[],LEO,Sun-Synchronous,0.0,984.0,1014.0,0.0020355543493011,99.2,105.1,47.0,,56.0,2001-12-10 00:00:00,3.0,"['CRTS Morocco', 'Institut für Luft-und Raumfahrttechnik']","['Germany', 'Morocco']",Baikonur Cosmodrome,Zenit,2001-056D,27004,Test three-dimensional attitude control system for future remote sensing; currently used for ice observation in Arctic.,"['12', 'www.satellitedebris.net 12']",http://www.vectronic-aerospace.com/html/body_maroc-tubsat.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html http://www.ilr.tu-berlin.de/RFA/MAROC-TUBSAT/MAROC-TUBSAT.htm http://www.vectronic-aerospace.com/html/maroc-tubsat.html
1702,Measat 3B (Malaysia East Asia Sat 3B),Measat 3B,Malaysia,Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,[],GEO,,91.5,35772.0,35802.0,0.0003558127950281,0.05,1436.11,5800.0,,16000.0,2014-09-11 00:00:00,15.0,Airbus Defence and Space,"['France', 'Germany']",Guiana Space Center,Ariane 5 ECA,2014-054B,40147,48 Ku-band transponders.,ZARYA,http://www.arianespace.com/news-mission-update/2014/1156.asp  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://www.space-airbusds.com/en/programme/-measat-3b.html
1722,"Meteosat 8 (MSGalaxy-1, MSG-1)",Meteosat 8,"['ESA', 'EUMETSAT']",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"['Civil', 'Government']",Earth Observation,"['Earth Science', 'Meterology']",GEO,,41.5,35781.0,35793.0,0.0001423251180112,0.46,1436.1,2000.0,1000.0,700.0,2002-08-21 00:00:00,12.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2002-040B,27509,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,"['12_08', 'JM']",http://www.cospas-sarsat.org/DocumentsSystemDataDocument/SD30-NOV04.pdf  http://www.eumetsat.de/en/index.html http://nssdc.gsfc.nasa.gov/spacewarn/spx586.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html http://www.esa.int/export/esaEO/SEMLFM2VQUD_index_0_m.html
