,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
1010,Gonets M-24,Gonets-M-24,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1498.0,1505.0,0.0004446420631391,82.51,116.01,280.0,,120.0,2019-12-26 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2019-096A,44905,[],"['3_20', 'JMSatcat']",https://spaceflightnow.com/2019/12/27/russia-retires-rockot-launcher-after-liftoff-with-four-satellites/
1011,Gonets M-25,Gonets M-25,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1499.0,1507.0,0.0005080655404547,82.51,116.01,280.0,,120.0,2019-12-26 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2019-096B,44906,[],"['3_20', 'JMSatcat']",https://spaceflightnow.com/2019/12/27/russia-retires-rockot-launcher-after-liftoff-with-four-satellites/
1012,Gonets M-26,Gonets M-26,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1500.0,1507.0,0.0004445291166571,82.5,116.01,280.0,,120.0,2019-12-26 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2019-096C,44907,[],"['3_20', 'JMSatcat']",https://spaceflightnow.com/2019/12/27/russia-retires-rockot-launcher-after-liftoff-with-four-satellites/
1013,Gonets M-27,Gonets M-27,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1486.0,1506.0,0.0012712941774726,82.5,116.01,280.0,,120.0,2020-09-28 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2020-068A,46486,[],"['12_20', 'JMSatcat']",https://spaceflightnow.com/2020/09/29/soyuz-launches-with-22-satellites/ https://planet4589.org/space/gcat/data/cat/satcat.html
1014,Gonets M-28,Gonets M-28,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1486.0,1505.0,0.0012078062424512,82.5,116.01,280.0,,120.0,2020-09-28 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2020-068B,46487,[],"['12_20', 'JMSatcat']",https://spaceflightnow.com/2020/09/29/soyuz-launches-with-22-satellites/ https://planet4589.org/space/gcat/data/cat/satcat.html
1015,Gonets M-29,Gonets M-29,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1484.0,1504.0,0.0012716174974567,82.5,116.01,280.0,,120.0,2020-09-28 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2020-068C,46488,[],"['12_20', 'JMSatcat']",https://spaceflightnow.com/2020/09/29/soyuz-launches-with-22-satellites/ https://planet4589.org/space/gcat/data/cat/satcat.html
1016,Gonets M-30,Gonets M-30,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1487.0,1506.0,0.0012076527045064,82.5,115.9,280.0,,120.0,2020-12-03 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2020-091A,47227,[],ZARYA 2020,https://spaceflightnow.com/2020/12/03/soyuz-rocket-lifts-off-from-plesetsk-with-russian-relay-satellites/ https://www.zarya.info/Diaries/Launches/Launches.php?year=2020
1017,Gonets M-31,Gonets M-31,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1486.0,1506.0,0.0012712941774726,82.5,115.9,280.0,,120.0,2020-12-03 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2020-091B,47228,[],ZARYA 2020,https://spaceflightnow.com/2020/12/03/soyuz-rocket-lifts-off-from-plesetsk-with-russian-relay-satellites/ https://www.zarya.info/Diaries/Launches/Launches.php?year=2020
1018,Gonets M-32,Gonets M-32,Russia,Russia,Gonets Satcom,Commercial,Communications,[],LEO,Polar,0.0,1484.0,1506.0,0.0013986013986013,82.5,115.9,280.0,,120.0,2020-12-03 00:00:00,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2020-091C,47229,[],ZARYA 2020,https://spaceflightnow.com/2020/12/03/soyuz-rocket-lifts-off-from-plesetsk-with-russian-relay-satellites/ https://www.zarya.info/Diaries/Launches/Launches.php?year=2020
1025,"Greenhouse Gases Observing Satellite (Ibuki, GoSAT)",Ibuki,Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,668.0,670.0,0.000142065634323,98.1,98.1,1750.0,,3800.0,2009-01-23 00:00:00,5.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2009-002A,33492,Observe the concentration and distribution of greenhouse gases across most of the Earth's surface.,"['12', 'www.satellitedebris.net 12']",http://www.jaxa.jp/projects/sat/gosat/index_e.html  http://envisat.esa.int/object/index.cfm?fobjectid=5096
